"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+"
"2005",10,23,33,213,301,313,376,458,609,719,840,694,844,1047,4923
"2006",21,12,35,206,289,276,319,399,594,692,797,721,681,935,4627
"2007",16,19,22,191,240,280,253,361,492,647,680,777,647,834,4521
"2008",14,19,35,194,234,303,268,374,497,589,685,728,620,856,4419
"2009",15,14,27,219,188,227,250,309,400,598,651,699,591,796,4277
"2010",9,16,22,171,188,225,234,267,415,555,687,704,639,731,4268
"2011",8,9,32,156,203,180,244,279,360,542,665,692,671,666,4074
"2012",7,9,21,146,185,196,210,276,359,509,670,712,737,617,3999
"2013",4,11,16,143,185,159,206,253,348,457,537,648,667,606,3831
"2014",8,7,16,144,156,148,218,227,283,410,573,658,721,650,3675
"2015",12,8,14,112,143,128,154,205,260,383,523,643,733,612,3569
"2016",6,11,8,78,122,105,141,189,235,353,517,606,712,664,3468
"2017",9,9,7,70,114,97,120,197,229,313,471,591,619,686,3156
"2018",6,8,15,62,84,105,129,160,198,269,426,504,601,747,2992
